"Time (year)";"Ssp10"
0.0;0.04165
0.04166667;0.04165
0.08333333;0.04165
0.125;0.04165
0.16666667;0.04165
0.20833333;0.04165
0.25;0.04165
0.29166667;0.04165
0.33333333;0.04165
0.375;0.04165
0.41666667;0.04165
0.45833333;0.04165
0.5;0.04165
0.54166667;0.04165
0.58333333;0.04165
0.625;0.04165
0.66666667;0.04165
0.70833333;0.04165
0.75;0.04165
0.79166667;0.04165
0.83333333;0.04165
0.875;0.04165
0.91666667;0.04165
0.95833333;0.04165
